Отметка времени,Кофе или чай?,Пол,Занимаетесь спортом?,Есть ли работа?,Есть ли сердечные заболевания?,Сова или Жаворонок,Есть ли молоко в холодильнике?,Время подъема,Административный округ,Время сна
19.09.2023 20:23:16,Чай,М,Да,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
19.09.2023 20:25:03,Кофе,Ж,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
19.09.2023 20:26:31,Чай,М,Нет,Да,Нет,Жаворонок,Да,6-7 утра,Восточный административный округ,От 3 до 6 часов
19.09.2023 20:27:02,Чай,М,Да,Нет,Нет,Сова,Нет,Позднее 8 утра,Восточный административный округ,7-8 часов
19.09.2023 20:27:16,Чай,Ж,Да,Да,Нет,Сова,Да,Позднее 8 утра,Восточный административный округ,Более 8 часов
19.09.2023 20:28:48,Чай,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Восточный административный округ,Более 8 часов
19.09.2023 20:31:40,Чай,М,Да,Да,Нет,Сова,Да,7-8 утра,Подмосковье,7-8 часов
19.09.2023 20:47:23,Чай,М,Нет,Да,Да,Сова,Да,Позднее 8 утра,Подмосковье,7-8 часов
20.09.2023 11:00:03,Кофе,М,Да,Да,Нет,Сова,Да,7-8 утра,Подмосковье,7-8 часов
19.09.2023 20:27:01,Кофе,М,Да,Нет,Да,Сова,Да,Позднее 8 утра,Северный административный округ,7-8 часов
19.09.2023 20:25:08,Чай,М,Нет,Нет,Нет,Сова,Нет,7-8 утра,Северо-Восточный административный округ,7-8 часов
19.09.2023 20:26:45,Кофе,Ж,Да,Да,Да,Жаворонок,Да,7-8 утра,Северо-Восточный административный округ,7-8 часов
19.09.2023 20:26:48,Чай,М,Да,Да,Нет,Сова,Да,7-8 утра,Северо-Восточный административный округ,7-8 часов
19.09.2023 21:02:12,Чай,М,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Северо-Восточный административный округ,7-8 часов
19.09.2023 20:25:01,Кофе,М,Да,Да,Да,Жаворонок,Нет,5-6 утра,Северо-западный административный округ,Менее 3 часов
19.09.2023 20:30:20,Чай,М,Нет,Нет,Нет,Сова,Нет,7-8 утра,Северо-западный административный округ,7-8 часов
19.09.2023 20:42:24,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Центральный административный округ,Более 8 часов
19.09.2023 23:08:28,Чай,М,Да,Нет,Нет,Сова,Да,7-8 утра,Центральный административный округ,7-8 часов
19.09.2023 20:22:58,Кофе,М,Да,Да,Нет,Сова,Да,5-6 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:25:06,Чай,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:25:31,Чай,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:26:17,Кофе,М,Да,Да,Нет,Сова,Да,7-8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:26:25,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:28:31,Кофе,М,Да,Нет,Нет,Сова,Да,Позднее 8 утра,Юго-Восточный административный округ,От 3 до 6 часов
19.09.2023 20:29:54,Чай,М,Да,Да,Да,Жаворонок,Нет,Позднее 8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 23:11:16,Чай,М,Да,Да,Да,Сова,Да,7-8 утра,Юго-Восточный административный округ,7-8 часов
19.09.2023 20:25:34,Чай,М,Да,Да,Нет,Жаворонок,Да,Позднее 8 утра,Юго-Западный административный округ,От 3 до 6 часов
19.09.2023 20:38:11,Чай,М,Да,Нет,Да,Сова,Да,Позднее 8 утра,Юго-Западный административный округ,Более 8 часов
19.09.2023 20:57:50,Чай,Ж,Да,Да,Нет,Сова,Да,Позднее 8 утра,Юго-Западный административный округ,Более 8 часов
19.09.2023 20:23:27,Чай,М,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Южный административный округ,7-8 часов
19.09.2023 20:24:34,Чай,Ж,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
19.09.2023 20:24:53,Чай,М,Да,Да,Нет,Сова,Нет,7-8 утра,Южный административный округ,От 3 до 6 часов
19.09.2023 20:25:36,Чай,Ж,Нет,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
19.09.2023 20:26:48,Кофе,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
19.09.2023 20:27:09,Чай,М,Да,Да,Нет,Жаворонок,Да,Позднее 8 утра,Южный административный округ,7-8 часов
19.09.2023 20:27:38,Кофе,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
19.09.2023 20:28:30,Чай,М,Нет,Нет,Нет,Сова,Нет,Позднее 8 утра,Южный административный округ,7-8 часов
19.09.2023 20:28:53,Чай,М,Да,Да,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,Более 8 часов
19.09.2023 20:31:50,Чай,М,Да,Да,Нет,Сова,Нет,7-8 утра,Южный административный округ,7-8 часов
19.09.2023 22:56:34,Чай,М,Нет,Нет,Нет,Сова,Да,Позднее 8 утра,Южный административный округ,От 3 до 6 часов
19.09.2023 20:21:52,Чай,М,Нет,Да,Нет,Жаворонок,Нет,6-7 утра,,7-8 часов